"Date (m/d/y)","Julian Date","Start Time","Temp (oC)","Weather","Dx","Last Covered On","Exposure Time","Exposure Time (Hr)","Exposure Time (min)","Low Tide Height","Low Tide Time","Ditance From Shore"," DC of (15 ) quadrats","Relative DC","End Time","Dropping Density ","Relative Dropping density (droppings/m2)","Droppings/min/m2","Relative Droppings Density Per Unit Time (droppings/m2/min)","Proportion Wesa to LESA"
"2007-07-04",185,"13:37:00",22,,,"00:00:00","13:37:00",13.6166666666667,817,,,250,5,0.5,1341,0.333333333333333,0.033333333333333,0.000407996736026,0.437748688187808,
"2007-07-04",185,"13:43:00",22,,,"00:00:00","13:43:00",13.7166666666667,823,,,200,2,0.2,1346,0.133333333333333,0.013333333333333,0.00016200891049,0.173822929890371,
"2007-07-04",185,"13:47:00",22,,,"00:00:00","13:47:00",13.7833333333333,827,,,150,2,0.2,1350,0.133333333333333,0.013333333333333,0.000161225312374,0.172982190205291,
"2007-07-04",185,"13:52:00",22,,,"00:00:00","13:52:00",13.8666666666667,832,,,100,0,0,1354,0,0,0,0,
"2007-07-04",185,"13:56:00",22,,,"00:00:00","13:56:00",13.9333333333333,836,,,50,0,0,,0,0,0,0,
"2007-07-06",187,"16:09:00",20,,,"14:00:00","02:09:00",2.15,129,,,1500,0,0,,0,0,0,0,
"2007-07-06",187,"16:11:00",20,,,"14:00:00","02:11:00",2.18333333333333,131,,,1400,0,0,,0,0,0,0,
"2007-07-06",187,"16:13:00",20,,,"13:00:00","03:13:00",3.21666666666667,193,,,1300,0,0,,0,0,0,0,
"2007-07-06",187,"16:15:00",20,,,"13:00:00","03:15:00",3.25,195,,,1200,0,0,,0,0,0,0,
"2007-07-06",187,"16:17:00",20,,,"13:00:00","03:17:00",3.28333333333333,197,,,1100,0,0,,0,0,0,0,
"2007-07-06",187,"16:19:00",20,,,"12:00:00","04:19:00",4.31666666666667,259,,,1000,0,0,,0,0,0,0,
"2007-07-06",187,"16:20:00",20,,,"12:00:00","04:20:00",4.33333333333333,260,,,900,0,0,,0,0,0,0,
"2007-07-06",187,"16:24:00",20,,,"12:00:00","04:24:00",4.4,264,,,800,0,0,,0,0,0,0,
"2007-07-06",187,"16:26:00",20,,,"11:00:00","05:26:00",5.43333333333333,326,,,700,0,0,,0,0,0,0,
"2007-07-06",187,"16:28:00",20,,,"10:00:00","06:28:00",6.46666666666667,388,,,600,0,0,,0,0,0,0,
"2007-07-06",187,"16:30:00",20,,,"02:00:00","14:30:00",14.5,870,,,550,0,0,,0,0,0,0,
"2007-07-06",187,"16:32:00",21,,,"02:00:00","14:32:00",14.5333333333333,872,,,500,0,0,,0,0,0,0,
"2007-07-06",187,"16:34:00",21,,,"02:00:00","14:34:00",14.5666666666667,874,,,450,0,0,,0,0,0,0,
"2007-07-06",187,"16:36:00",21,,,"01:00:00","15:36:00",15.6,936,,,400,0,0,,0,0,0,0,
"2007-07-06",187,"16:39:00",21,,,"01:00:00","15:39:00",15.65,939,,,350,0,0,"16:45:00",0,0,0,0,
"2007-07-06",187,"16:46:00",21,,,"01:00:00","15:46:00",15.7666666666667,946,,,300,0,0,"16:50:00",0,0,0,0,
"2007-07-06",187,"16:52:00",21,,,"01:00:00","15:52:00",15.8666666666667,952,,,250,1,0.333333333333333,"16:56:00",0.066666666666667,0.022222222222222,7.00280112044818E-05,0.352380952380952,
"2007-07-06",187,"16:58:00",21,,,"01:00:00","15:58:00",15.9666666666667,958,,,200,0,0,"17:02:00",0,0,0,0,
"2007-07-06",187,"17:04:00",21,,,"01:00:00","16:04:00",16.0666666666667,964,,,150,0,0,"17:08:00",0,0,0,0,
"2007-07-06",187,"17:11:00",21,,,"01:00:00","16:11:00",16.1833333333333,971,,,100,0,0,,0,0,0,0,
"2007-07-06",187,"17:14:00",21,,,"00:00:00","17:14:00",17.2333333333333,1034,,,50,0,0,,0,0,0,0,
"2007-07-06",187,"17:16:00",21,,,"00:00:00","17:16:00",17.2666666666667,1036,,,0,2,0.666666666666667,"17:20:00",0.133333333333333,0.044444444444444,0.0001287001287,0.647619047619048,
"2007-07-08",189,"17:57:00",20,,,"17:00:00","00:57:00",0.95,57,,,900,0,0,"17:58:00",0,0,0,0,
"2007-07-08",189,"18:02:00",20,,,"16:00:00","02:02:00",2.03333333333333,122,,,800,1,0.029411764705882,"18:05:00",0.066666666666667,0.001960784313725,0.000546448087432,0.197267066346978,
"2007-07-08",189,"18:07:00",20,,,"15:00:00","03:07:00",3.11666666666667,187,,,700,0,0,"18:08:00",0,0,0,0,
"2007-07-08",189,"18:10:00",20,,,"14:00:00","04:10:00",4.16666666666667,250,,,600,0,0,"18:12:00",0,0,0,0,
"2007-07-08",189,"18:13:00",20,,,"14:00:00","04:13:00",4.21666666666667,253,,,550,0,0,,0,0,0,0,
"2007-07-08",189,"18:15:00",20,,,"14:00:00","04:15:00",4.25,255,,,500,0,0,,0,0,0,0,
"2007-07-08",189,"18:16:00",20,,,"14:00:00","04:16:00",4.26666666666667,256,,,450,0,0,,0,0,0,0,
"2007-07-08",189,"18:18:00",20,,,"02:00:00","16:18:00",16.3,978,,,400,0,0,,0,0,0,0,
"2007-07-08",189,"18:19:00",20,,,"02:00:00","16:19:00",16.3166666666667,979,,,350,0,0,,0,0,0,0,
"2007-07-08",189,"18:22:00",20,,,"02:00:00","16:22:00",16.3666666666667,982,,,300,6,0.176470588235294,"18:27:00",0.4,0.011764705882353,0.00040733197556,0.147046326441943,
"2007-07-08",189,"18:29:00",20,,,"02:00:00","16:29:00",16.4833333333333,989,,,250,22,0.647058823529412,"18:39:00",1.46666666666667,0.043137254901961,0.001482979440512,0.535353696739423,
"2007-07-08",189,"18:40:00",19,,,"02:00:00","16:40:00",16.6666666666667,1000,,,200,5,0.147058823529412,"18:45:00",0.333333333333333,0.009803921568627,0.000333333333333,0.120332910471657,
"2007-07-09",190,"19:10:00",21,,,"19:00:00","00:10:00",0.166666666666667,10,,,700,0,0,"19:13:00",0,0,0,0,
"2007-07-09",190,"19:10:00",21,,,"18:00:00","01:10:00",1.16666666666667,70,,,600,0,0,"19:17:00",0,0,0,0,
"2007-07-09",190,"19:18:00",21,,,"18:00:00","01:18:00",1.3,78,,,550,0,0,"19:20:00",0,0,0,0,
"2007-07-09",190,"19:21:00",21,,,"17:00:00","02:21:00",2.35,141,,,500,0,0,"19:23:00",0,0,0,0,
"2007-07-09",190,"19:24:00",21,,,"17:00:00","02:24:00",2.4,144,,,450,0,0,"19:26:00",0,0,0,0,
"2007-07-09",190,"19:27:00",21,,,"16:00:00","03:27:00",3.45,207,,,400,0,0,"19:28:00",0,0,0,0,
"2007-07-09",190,"19:29:00",21,,,"02:00:00","17:29:00",17.4833333333333,1049,,,350,0,0,"19:30:00",0,0,0,0,
"2007-07-09",190,"19:31:00",21,,,"02:00:00","17:31:00",17.5166666666667,1051,,,300,4,0.022099447513812,"19:36:00",0.266666666666667,0.001473296500921,0.000253726609578,0.022455063008784,
"2007-07-09",190,"19:38:00",21,,,"02:00:00","17:38:00",17.6333333333333,1058,,,250,39,0.215469613259669,"19:44:00",2.6,0.014364640883978,0.002457466918715,0.217488321754972,
"2007-07-09",190,"19:45:00",21,,,"02:00:00","17:45:00",17.75,1065,,,200,54,0.298342541436464,"19:51:00",3.6,0.019889502762431,0.003380281690141,0.299158367605756,
"2007-07-09",190,"19:52:00",21,,,"02:00:00","17:52:00",17.8666666666667,1072,,,150,53,0.292817679558011,"19:59:00",3.53333333333333,0.019521178637201,0.003296019900498,0.291701113521056,
"2007-07-09",190,"20:01:00",21,,,"02:00:00","18:01:00",18.0166666666667,1081,,,100,31,0.171270718232044,"20:08:00",2.06666666666667,0.011418047882136,0.001911810052421,0.169197134109433,
"2007-07-10",191,"20:13:00",23,,,"20:00:00","00:13:00",0.216666666666667,13,,,400,0,0,,0,0,0,0,
"2007-07-10",191,"20:17:00",23,,,"19:00:00","01:17:00",1.28333333333333,77,,,350,0,0,,0,0,0,0,
"2007-07-10",191,"20:19:00",23,,,"19:00:00","01:19:00",1.31666666666667,79,,,300,17,0.140495867768595,"20:26:00",1.13333333333333,0.009366391184573,0.014345991561181,0.264162780569538,
"2007-07-10",191,"20:28:00",23,,,"18:00:00","02:28:00",2.46666666666667,148,,,250,29,0.239669421487603,"20:35:00",1.93333333333333,0.015977961432507,0.013063063063063,0.240539320462962,
"2007-07-10",191,"20:37:00",21,,,"18:00:00","02:37:00",2.61666666666667,157,,,200,10,0.082644628099174,"20:43:00",0.666666666666667,0.005509641873278,0.004246284501062,0.078189807662021,
"2007-07-10",191,"20:45:00",21,,,"18:00:00","02:45:00",2.75,165,,,150,35,0.289256198347107,"20:53:00",2.33333333333333,0.019283746556474,0.014141414141414,0.260395753395641,
"2007-07-10",191,"20:55:00",21,,,"17:00:00","03:55:00",3.91666666666667,235,,,100,30,0.247933884297521,"21:03:00",2,0.016528925619835,0.008510638297872,0.156712337909838,
"2007-07-11",192,"09:36:00",23,,,"06:00:00","03:36:00",3.6,216,,,1500,0,0,,0,0,0,0,
"2007-07-11",192,"09:39:00",23,,,"06:00:00","03:39:00",3.65,219,,,1400,0,0,,0,0,0,0,
"2007-07-11",192,"09:42:00",23,,,"06:00:00","03:42:00",3.7,222,,,1300,0,0,,0,0,0,0,
"2007-07-11",192,"09:44:00",23,,,"05:00:00","04:44:00",4.73333333333333,284,,,1200,0,0,,0,0,0,0,
"2007-07-11",192,"09:46:00",23,,,"05:00:00","04:46:00",4.76666666666667,286,,,1100,0,0,,0,0,0,0,
"2007-07-11",192,"09:48:00",23,,,"05:00:00","04:48:00",4.8,288,,,1000,0,0,,0,0,0,0,
"2007-07-11",192,"10:16:00",23,,,"05:00:00","05:16:00",5.26666666666667,316,,,900,0,0,,0,0,0,0,
"2007-07-11",192,"10:19:00",23,,,"05:00:00","05:19:00",5.31666666666667,319,,,800,0,0,,0,0,0,0,
"2007-07-11",192,"10:21:00",23,,,"04:00:00","06:21:00",6.35,381,,,700,0,0,,0,0,0,0,
"2007-07-11",192,"10:23:00",23,,,"04:00:00","06:23:00",6.38333333333333,383,,,600,0,0,,0,0,0,0,
"2007-07-11",192,"10:25:00",23,,,"04:00:00","06:25:00",6.41666666666667,385,,,550,0,0,,0,0,0,0,
"2007-07-11",192,"10:27:00",23,,,"04:00:00","06:27:00",6.45,387,,,500,0,0,,0,0,0,0,
"2007-07-11",192,"10:29:00",23,,,"04:00:00","06:29:00",6.48333333333333,389,,,450,3,0.130434782608696,"10:35:00",0.2,0.008695652173913,0.000514138817481,0.160334161959727,
"2007-07-11",192,"10:37:00",23,,,"04:00:00","06:37:00",6.61666666666667,397,,,400,0,0,"10:42:00",0,0,0,0,
"2007-07-11",192,"10:43:00",23,,,"04:00:00","06:43:00",6.71666666666667,403,,,350,0,0,"10:46:00",0,0,0,0,
"2007-07-11",192,"10:49:00",23,,,"04:00:00","06:49:00",6.81666666666667,409,,,300,0,0,"10:54:00",0,0,0,0,
"2007-07-11",192,"10:56:00",23,,,"03:00:00","07:56:00",7.93333333333333,476,,,250,2,0.08695652173913,"11:04:00",0.133333333333333,0.005797101449275,0.000280112044818,0.087352925773577,
"2007-07-11",192,"11:06:00",23,,,"03:00:00","08:06:00",8.1,486,,,200,5,0.217391304347826,"11:10:00",0.333333333333333,0.014492753623188,0.000685871056241,0.213888851173985,
"2007-07-11",192,"11:12:00",23,,,"03:00:00","08:12:00",8.2,492,,,150,4,0.173913043478261,"11:17:00",0.266666666666667,0.011594202898551,0.000542005420054,0.169024360439929,
"2007-07-11",192,"11:23:00",23,,,"03:00:00","08:23:00",8.38333333333333,503,,,100,5,0.217391304347826,"11:28:00",0.333333333333333,0.014492753623188,0.000662690523526,0.206660003321186,
"2007-07-11",192,"11:31:00",25,,,"03:00:00","08:31:00",8.51666666666667,511,,,50,4,0.173913043478261,"11:35:00",0.266666666666667,0.011594202898551,0.000521852576647,0.162739697331595,"100% WESA"
"2007-07-11",192,"11:38:00",25,,,"02:00:00","09:38:00",9.63333333333333,578,,,0,0,0,"11:42:00",0,0,0,0,
"2007-07-12",193,"10:37:00",25,,,"07:00:00","03:37:00",3.61666666666667,217,,,1500,0,0,,0,0,0,0,
"2007-07-12",193,"10:40:00",25,,,"07:00:00","03:40:00",3.66666666666667,220,,,1400,0,0,,0,0,0,0,
"2007-07-12",193,"10:42:00",25,,,"06:00:00","04:42:00",4.7,282,,,1300,0,0,,0,0,0,0,
"2007-07-12",193,"10:46:00",25,,,"06:00:00","04:46:00",4.76666666666667,286,,,1200,0,0,,0,0,0,0,
"2007-07-12",193,"10:48:00",25,,,"06:00:00","04:48:00",4.8,288,,,1100,0,0,,0,0,0,0,
"2007-07-12",193,"10:51:00",25,,,"06:00:00","04:51:00",4.85,291,,,1000,0,0,,0,0,0,0,
"2007-07-12",193,"10:53:00",25,,,"06:00:00","04:53:00",4.88333333333333,293,,,900,0,0,,0,0,0,0,
"2007-07-12",193,"10:55:00",25,,,"05:00:00","05:55:00",5.91666666666667,355,,,800,0,0,,0,0,0,0,
"2007-07-12",193,"10:58:00",25,,,"05:00:00","05:58:00",5.96666666666667,358,,,700,0,0,,0,0,0,0,
"2007-07-12",193,"11:00:00",25,,,"05:00:00","06:00:00",6,360,,,600,0,0,,0,0,0,0,
"2007-07-12",193,"11:02:00",25,,,"05:00:00","06:02:00",6.03333333333333,362,,,550,0,0,,0,0,0,0,
"2007-07-12",193,"11:03:00",25,,,"05:00:00","06:03:00",6.05,363,,,500,0,0,,0,0,0,0,
"2007-07-12",193,"11:05:00",25,,,"04:00:00","07:05:00",7.08333333333333,425,,,450,0,0,,0,0,0,0,
"2007-07-12",193,"11:07:00",25,,,"04:00:00","07:07:00",7.11666666666667,427,,,400,0,0,,0,0,0,0,
"2007-07-12",193,"11:09:00",25,,,"04:00:00","07:09:00",7.15,429,,,350,0,0,,0,0,0,0,
"2007-07-12",193,"11:26:00",25,,,"04:00:00","07:26:00",7.43333333333333,446,,,300,0,0,"11:31:00",0,0,0,0,
"2007-07-12",193,"11:32:00",25,,,"04:00:00","07:32:00",7.53333333333333,452,,,250,1,0.111111111111111,"11:36:00",0.066666666666667,0.007407407407407,0.000147492625369,0.12600344026545,
"2007-07-12",193,"11:38:00",25,,,"04:00:00","07:38:00",7.63333333333333,458,,,200,1,0.111111111111111,"11:42:00",0.066666666666667,0.007407407407407,0.000145560407569,0.124352740174636,
"2007-07-12",193,"11:44:00",25,,,"04:00:00","07:44:00",7.73333333333333,464,,,150,0,0,"11:47:00",0,0,0,0,
"2007-07-12",193,"11:49:00",25,,,"03:00:00","08:49:00",8.81666666666667,529,,,100,5,0.555555555555556,"11:58:00",0.333333333333333,0.037037037037037,0.000630119722747,0.538313374290959,
"2007-07-12",193,"11:59:00",25,,,"03:00:00","08:59:00",8.98333333333333,539,,,50,2,0.222222222222222,"12:04:00",0.133333333333333,0.014814814814815,0.000247371675943,0.211330445268955,"No Birds Seen"
"2007-07-12",193,"12:05:00",25,,,"03:00:00","09:05:00",9.08333333333333,545,,,0,0,0,"12:09:00",0,0,0,0,
"2007-07-14",195,"11:56:00",22,,,"08:00:00","03:56:00",3.93333333333333,236,,,1100,0,0,,0,0,0,0,
"2007-07-14",195,"11:58:00",22,,,"07:00:00","04:58:00",4.96666666666667,298,,,1000,0,0,,0,0,0,0,
"2007-07-14",195,"12:00:00",22,,,"07:00:00","05:00:00",5,300,,,900,0,0,,0,0,0,0,
"2007-07-14",195,"12:02:00",22,,,"07:00:00","05:02:00",5.03333333333333,302,,,800,0,0,,0,0,0,0,
"2007-07-14",195,"12:04:00",22,,,"07:00:00","05:04:00",5.06666666666667,304,,,700,0,0,,0,0,0,0,
"2007-07-14",195,"12:06:00",22,,,"07:00:00","05:06:00",5.1,306,,,600,0,0,,0,0,0,0,
"2007-07-14",195,"12:07:00",22,,,"07:00:00","05:07:00",5.11666666666667,307,,,550,0,0,,0,0,0,0,
"2007-07-14",195,"12:08:00",22,,,"06:00:00","06:08:00",6.13333333333333,368,,,500,0,0,,0,0,0,0,
"2007-07-14",195,"12:10:00",22,,,"06:00:00","06:10:00",6.16666666666667,370,,,450,0,0,,0,0,0,0,
"2007-07-14",195,"12:11:00",22,,,"06:00:00","06:11:00",6.18333333333333,371,,,400,31,0.139013452914798,"12:20:00",2.06666666666667,0.009267563527653,0.005570530098832,0.148968668082883,
"2007-07-14",195,"12:22:00",22,,,"06:00:00","06:22:00",6.36666666666667,382,,,350,64,0.286995515695067,"12:32:00",4.26666666666667,0.019133034379671,0.011169284467714,0.298692117459886,
"2007-07-14",195,"12:34:00",23,,,"06:00:00","06:34:00",6.56666666666667,394,,,300,45,0.201793721973094,"12:42:00",3,0.013452914798206,0.00761421319797,0.203621410974597,
"2007-07-14",195,"12:46:00",23,,,"06:00:00","06:46:00",6.76666666666667,406,,,250,41,0.183856502242152,"12:52:00",2.73333333333333,0.012257100149477,0.006732348111658,0.180038329112405,
"2007-07-14",195,"12:54:00",23,,,"06:00:00","06:54:00",6.9,414,,,200,23,0.103139013452915,"12:59:00",1.53333333333333,0.006875934230194,0.003703703703704,0.099045476449372,
"2007-07-14",195,"13:01:00",23,,,"05:00:00","08:01:00",8.01666666666667,481,,,150,2,0.008968609865471,"13:04:00",0.133333333333333,0.000597907324365,0.0002772002772,0.007412967052344,
"2007-07-14",195,"13:05:00",23,,,"05:00:00","08:05:00",8.08333333333333,485,,,100,11,0.04932735426009,"13:10:00",0.733333333333333,0.003288490284006,0.001512027491409,0.04043506048861,
"2007-07-14",195,"13:11:00",23,,,"05:00:00","08:11:00",8.18333333333333,491,,,50,6,0.026905829596413,"13:15:00",0.4,0.001793721973094,0.00081466395112,0.021785970379903,
"2007-07-14",195,"13:16:00",23,,,"21:00:00","-07:44:00",16.2666666666667,976,,,0,0,0,"13:19:00",0,0,0,0,
"2007-07-15",196,"12:49:00",24,,,"09:00:00","03:49:00",3.81666666666667,229,,,1500,0,0,,0,0,0,0,
"2007-07-15",196,"12:51:00",24,,,"09:00:00","03:51:00",3.85,231,,,1400,0,0,,0,0,0,0,
"2007-07-15",196,"12:53:00",24,,,"09:00:00","03:53:00",3.88333333333333,233,,,1300,9,0.067669172932331,"13:03:00",0.6,0.004511278195489,0.002575107296137,0.114036512856176,
"2007-07-15",196,"13:06:00",24,,,"09:00:00","04:06:00",4.1,246,,,1200,16,0.120300751879699,"13:16:00",1.06666666666667,0.008020050125313,0.004336043360434,0.192018121015277,
"2007-07-15",196,"13:18:00",24,,,"08:00:00","05:18:00",5.3,318,,,1100,5,0.037593984962406,"13:26:00",0.333333333333333,0.00250626566416,0.00104821802935,0.046419475009589,
"2007-07-15",196,"13:30:00",25,,,"08:00:00","05:30:00",5.5,330,,,1000,9,0.067669172932331,"13:38:00",0.6,0.004511278195489,0.001818181818182,0.08051668938027,
"2007-07-15",196,"13:41:00",25,,,"08:00:00","05:41:00",5.68333333333333,341,,,900,5,0.037593984962406,"13:49:00",0.333333333333333,0.00250626566416,0.000977517106549,0.043288542677564,
"2007-07-15",196,"13:52:00",25,,,"08:00:00","05:52:00",5.86666666666667,352,,,800,0,0,,0,0,0,0,
"2007-07-15",196,"13:56:00",25,,,"08:00:00","05:56:00",5.93333333333333,356,,,700,0,0,,0,0,0,0,
"2007-07-15",196,"14:00:00",25,,,"07:00:00","07:00:00",7,420,,,600,0,0,,0,0,0,0,
"2007-07-15",196,"14:01:00",25,,,"07:00:00","07:01:00",7.01666666666667,421,,,550,0,0,,0,0,0,0,
"2007-07-15",196,"14:03:00",25,,,"07:00:00","07:03:00",7.05,423,,,500,0,0,,0,0,0,0,
"2007-07-15",196,"14:05:00",25,,,"07:00:00","07:05:00",7.08333333333333,425,,,450,0,0,,0,0,0,0,
"2007-07-15",196,"14:07:00",25,,,"07:00:00","07:07:00",7.11666666666667,427,,,400,6,0.045112781954887,"14:13:00",0.4,0.003007518796992,0.000936768149883,0.041484008579998,
"2007-07-15",196,"14:14:00",25,,,"07:00:00","07:14:00",7.23333333333333,434,,,350,4,0.030075187969925,"14:20:00",0.266666666666667,0.002005012531328,0.000614439324117,0.027209941111612,
"2007-07-15",196,"14:21:00",25,,,"07:00:00","07:21:00",7.35,441,,,300,15,0.112781954887218,"14:28:00",1,0.007518796992481,0.002267573696145,0.100417639816663,
"2007-07-15",196,"14:29:00",25,,,"06:00:00","08:29:00",8.48333333333333,509,,,250,22,0.165413533834586,"14:34:00",1.46666666666667,0.011027568922306,0.002881466928618,0.127603397708089,
"2007-07-15",196,"14:36:00",25,,,"06:00:00","08:36:00",8.6,516,,,200,13,0.097744360902256,"14:41:00",0.866666666666667,0.006516290726817,0.001679586563307,0.074379112282807,
"2007-07-15",196,"14:43:00",25,,,"06:00:00","08:43:00",8.71666666666667,523,,,150,6,0.045112781954887,"15:05:00",0.4,0.003007518796992,0.000764818355641,0.033869353085391,
"2007-07-15",196,"15:07:00",25,,,"06:00:00","09:07:00",9.11666666666667,547,,,100,17,0.12781954887218,"15:12:00",1.13333333333333,0.008521303258145,0.002071907373553,0.091752717331569,
"2007-07-15",196,"15:14:00",25,,,"06:00:00","09:14:00",9.23333333333333,554,,,50,4,0.030075187969925,"15:16:00",0.266666666666667,0.002005012531328,0.000481347773767,0.021316091051335,
"2007-07-15",196,"15:18:00",25,,,"22:00:00","-06:42:00",17.3,1038,,,0,2,0.015037593984962,"15:19:00",0.133333333333333,0.001002506265664,0.000128452151574,0.005688398093661,
"2007-07-16",196,"12:48:00",23,,,"10:00:00","02:48:00",2.8,168,,,1500,0,0,,0,0,0,0,
"2007-07-16",196,"12:51:00",23,,,"10:00:00","02:51:00",2.85,171,,,1400,0,0,,0,0,0,0,
"2007-07-16",196,"12:53:00",23,,,"10:00:00","02:53:00",2.88333333333333,173,,,1300,0,0,,0,0,0,0,
"2007-07-16",196,"12:56:00",23,,,"09:00:00","03:56:00",3.93333333333333,236,,,1200,0,0,,0,0,0,0,
"2007-07-16",196,"13:00:00",23,,,"09:00:00","04:00:00",4,240,,,1100,0,0,,0,0,0,0,
"2007-07-16",196,"13:02:00",23,,,"09:00:00","04:02:00",4.03333333333333,242,,,1000,0,0,,0,0,0,0,
"2007-07-16",196,"13:07:00",23,,,"09:00:00","04:07:00",4.11666666666667,247,,,900,0,0,,0,0,0,0,
"2007-07-16",196,"13:08:00",23,,,"09:00:00","04:08:00",4.13333333333333,248,,,800,0,0,,0,0,0,0,
"2007-07-16",196,"13:10:00",23,,,"08:00:00","05:10:00",5.16666666666667,310,,,700,0,0,,0,0,0,0,
"2007-07-16",196,"13:12:00",23,,,"08:00:00","05:12:00",5.2,312,,,600,0,0,,0,0,0,0,
"2007-07-16",196,"13:14:00",23,,,"08:00:00","05:14:00",5.23333333333333,314,,,550,0,0,,0,0,0,0,
"2007-07-16",196,"13:16:00",23,,,"08:00:00","05:16:00",5.26666666666667,316,,,500,0,0,,0,0,0,0,
"2007-07-16",196,"13:19:00",23,,,"08:00:00","05:19:00",5.31666666666667,319,,,450,0,0,,0,0,0,0,
"2007-07-16",196,"13:20:00",23,,,"08:00:00","05:20:00",5.33333333333333,320,,,400,0,0,,0,0,0,0,
"2007-07-16",196,"13:22:00",23,,,"07:00:00","06:22:00",6.36666666666667,382,,,350,0,0,"13:29:00",0,0,0,0,
"2007-07-16",196,"13:30:00",24,,,"07:00:00","06:30:00",6.5,390,,,300,14,0.105263157894737,"13:38:00",0.933333333333333,0.007017543859649,0.002393162393162,0.149907002573498,
"2007-07-16",196,"13:41:00",24,,,"07:00:00","06:41:00",6.68333333333333,401,,,250,29,0.218045112781955,"13:47:00",1.93333333333333,0.01453634085213,0.004821280133001,0.302003597988291,"9/20 LESA"
"2007-07-16",196,"13:48:00",24,,,"07:00:00","06:48:00",6.8,408,,,200,26,0.195488721804511,"13:54:00",1.73333333333333,0.013032581453634,0.004248366013072,0.266116422635727,"NO Birds"
